ID_Pregunta,Fuente_Original,Oposicion,Tema,Texto_Pregunta,Opcion_A,Oposicion_B,Opcion_C,Opcion_D,Respuesta_Correcta,Articulo_Justificacion,Texto_Justificacion,URL_Fuente_Oficial,tipo_pregunta
3371,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Microsoft Word, ¿qué combinación de teclas se utiliza para justificar un párrafo?","Ctrl + J","Ctrl + T","Ctrl + Q","Ctrl + D",A,"Funcionalidad de Word","El atajo de teclado para justificar un párrafo (alinear a ambos márgenes) es Ctrl + J.","https://support.microsoft.com/es-es/office/m%C3%A9todos-abreviados-de-teclado-de-microsoft-word-95ef89dd-7142-4b50-afb2-f762f663ceb2",ofimatica
3372,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, para fijar una celda en una fórmula (referencia absoluta), ¿qué símbolo se utiliza?","@","$","#","&",B,"Funcionalidad de Excel","El símbolo del dólar ($) se utiliza para crear referencias absolutas, por ejemplo, $A$1.","https://support.microsoft.com/es-es/office/cambiar-entre-referencias-relativas-absolutas-y-mixtas-53242668-4543-4369-8a4a-5eee56da3358",ofimatica
3373,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué vista de Word está optimizada para la lectura en pantalla, mostrando el texto en columnas?","Vista de Impresión","Modo Lectura","Vista Diseño Web","Vista Esquema",B,"Funcionalidad de Word","El Modo Lectura está diseñado para facilitar la lectura de documentos largos en pantalla, reorganizando el contenido en columnas.","https://support.microsoft.com/es-es/office/leer-documentos-en-word-5b341c2d-3c2a-431a-9e2a-5c1a7421cb31",ofimatica
3374,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","La función de Excel =CONTAR.SI(A1:A100; "">50"") sirve para:","Sumar los valores mayores a 50","Contar las celdas con valores mayores a 50","Calcular el promedio de los valores mayores a 50","Devolver VERDADERO si algún valor es mayor a 50",B,"Funciones de Excel","La función CONTAR.SI cuenta el número de celdas dentro de un rango que cumplen un criterio especificado.","https://support.microsoft.com/es-es/office/funci%C3%B3n-contar-si-a3b6df34-0b3c-4cf8-a14a-fdb2403b2d83",ofimatica
3375,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Windows, ¿qué combinación de teclas abre el Administrador de Tareas directamente?","Ctrl + Alt + Supr","Ctrl + Shift + Esc","Windows + T","Alt + F4",B,"Atajos de Windows","Ctrl + Shift + Esc es el atajo directo para abrir el Administrador de Tareas. Ctrl + Alt + Supr abre una pantalla de seguridad con varias opciones.","https://support.microsoft.com/es-es/windows/m%C3%A9todos-abreviados-de-teclado-de-windows-dcc61a57-8ff0-cffe-9796-cb9706c75eec",ofimatica
3376,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En un procesador de textos, el espacio vertical entre las líneas de un párrafo se denomina:","Sangría","Interlineado","Espaciado","Tabulación",B,"Formato de Párrafo","El interlineado (sencillo, 1.5, doble, etc.) controla la distancia vertical entre las líneas de texto dentro de un mismo párrafo.","https://support.microsoft.com/es-es/office/ajustar-las-sangr%C3%ADas-y-el-espaciado-en-word-d2082760-b72d-4f2a-b143-6b66a4152b11",ofimatica
3377,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es el 'Portapapeles' en un sistema operativo?","Una carpeta para guardar imágenes","Un área de almacenamiento temporal para la información copiada o cortada","Un programa de edición de texto","Una herramienta de seguridad",B,"Conceptos de SO","El Portapapeles (Clipboard) es una memoria temporal que almacena la información al usar los comandos Cortar (Ctrl+X) o Copiar (Ctrl+C), para luego Pegarla (Ctrl+V).","https://support.microsoft.com/es-es/windows/portapapeles-en-windows-c436501e-9858-128d-93e7-b408b63951e0",ofimatica
3378,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, la función que busca un valor en la primera columna de una tabla y devuelve un valor en la misma fila de otra columna es:","BUSCARH","BUSCARV","INDICE","COINCIDIR",B,"Funciones de Excel","BUSCARV (VLOOKUP) busca un valor verticalmente en la primera columna de un rango y devuelve un valor de una columna especificada en la misma fila.","https://support.microsoft.com/es-es/office/buscarv-funci%C3%B3n-buscarv-0bbc8083-26fe-4963-8ab2-98618ac1237a",ofimatica
3379,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","La función de Word 'Combinar correspondencia' se utiliza para:","Traducir un documento a varios idiomas","Crear documentos personalizados para múltiples destinatarios","Revisar la ortografía de un documento","Insertar una tabla de contenido",B,"Funcionalidad de Word","'Combinar correspondencia' es la herramienta diseñada para generar cartas, etiquetas, sobres o correos electrónicos masivos, personalizando campos para cada destinatario.","https://support.microsoft.com/es-es/office/usar-la-combinaci%C3%B3n-de-correspondencia-para-crear-y-enviar-cartas-etiquetas-y-sobres-en-word-858c7d7f-5cc0-4ba1-9a7b-54b703920e9a",ofimatica
3380,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Para seleccionar archivos no contiguos en el Explorador de Windows, se debe hacer clic en cada uno manteniendo pulsada la tecla:","Shift","Alt","Ctrl","Tab",C,"Uso de Windows","La tecla Ctrl (Control) permite la selección múltiple de elementos no adyacentes.","https://support.microsoft.com/es-es/windows/sugerencias-del-explorador-de-archivos-en-windows-64904b1a-422a-43d2-850f-9dd8053c9b74",ofimatica
3381,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En una hoja de cálculo, ¿cuál es el resultado de la fórmula =SI(5>3; ""CORRECTO""; ""INCORRECTO"")?","5>3","CORRECTO","INCORRECTO","Error",B,"Funciones de Excel","La función SI evalúa una condición. Como 5 es mayor que 3 (la condición es verdadera), devuelve el primer valor: 'CORRECTO'.","https://support.microsoft.com/es-es/office/funci%C3%B3n-si-69aed7c9-4e8a-4755-a9bc-aa8bbff73be2",ofimatica
3382,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué extensión de archivo corresponde a una presentación de PowerPoint?",".docx",".xlsx",".pptx",".pdf",C,"Extensiones de Archivo",".pptx es la extensión para presentaciones de PowerPoint. .docx es para Word y .xlsx es para Excel.","https://support.microsoft.com/es-es/office/formatos-de-archivo-que-son-compatibles-con-powerpoint-252c3328-2a13-4e1b-a1a2-6b4be1f80735",ofimatica
3383,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, para insertar un salto de página manual, se utiliza la combinación de teclas:","Ctrl + Intro","Shift + Intro","Alt + Intro","Tab + Intro",A,"Atajos de Word","Ctrl + Intro (Enter) inserta un salto de página, forzando al texto siguiente a comenzar en la parte superior de la página siguiente.","https://support.microsoft.com/es-es/office/insertar-un-salto-de-p%C3%A1gina-db13c66a-7338-41de-9a78-214433391bdf",ofimatica
3384,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","El pequeño cuadrado en la esquina inferior derecha de una celda de Excel, que sirve para arrastrar y copiar fórmulas, se llama:","Puntero de celda","Controlador de relleno","Selector de rango","Botón de autoajuste",B,"Interfaz de Excel","El controlador de relleno (Fill Handle) es una herramienta muy útil que permite extender rápidamente una fórmula o una serie de datos a celdas adyacentes.","https://support.microsoft.com/es-es/office/rellenar-datos-autom%C3%A1ticamente-en-celdas-de-hojas-de-c%C3%A1lculo-74e31bdd-d993-45da-aa82-35a236c5b5db",ofimatica
3385,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es una LAN en terminología de redes?","Una red de área amplia (Wide Area Network)","Una red de área local (Local Area Network)","Una red de área metropolitana (Metropolitan Area Network)","Una red privada virtual (Virtual Private Network)",B,"Conceptos de Redes","Una LAN es una red que conecta dispositivos en un área geográfica limitada, como una oficina, un edificio o un hogar.","https://www.cisco.com/c/es_es/solutions/small-business/resource-center/networking/what-is-a-lan.html",ofimatica
3386,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En un correo electrónico, ¿qué significa el campo 'CCO'?","Con Copia Obligatoria","Con Copia Oculta","Correo Certificado Oficial","Correo con Opciones",B,"Funcionalidad de Email","El campo CCO (BCC en inglés) sirve para enviar una copia del correo a un destinatario de forma que los demás destinatarios (del 'Para' y 'CC') no puedan ver su dirección.","https://support.microsoft.com/es-es/office/mostrar-ocultar-y-ver-el-campo-cco-en-un-mensaje-de-correo-electr%C3%B3nico-04304e27-63a2-4274-8039-27a4178a3c5c",ofimatica
3387,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","La función de Excel que une varios textos en uno solo es:","=UNIR()","=JUNTAR()","=CONCATENAR() o CONCAT()","=TEXTOUNIDO()",C,"Funciones de Excel","Las funciones CONCATENAR (en versiones antiguas) y CONCAT (en versiones modernas), así como el operador '&', permiten unir el contenido de varias celdas.","https://support.microsoft.com/es-es/office/funci%C3%B3n-concat-9b1a9a3f-94ff-41af-9736-694cbd8b4996",ofimatica
3388,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, la herramienta para crear un índice automático del documento es la:","Tabla de ilustraciones","Tabla de contenido","Tabla de autoridades","Tabla de referencias",B,"Funcionalidad de Word","La Tabla de contenido se genera automáticamente a partir de los párrafos a los que se les ha aplicado un estilo de título (Título 1, Título 2, etc.).","https://support.microsoft.com/es-es/office/insertar-una-tabla-de-contenido-882e8564-0edb-435e-84b5-1d8552ccf0c0",ofimatica
3389,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es una 'cookie' en un navegador web?","Un virus","Un pequeño archivo de texto que los sitios web guardan en tu ordenador","Un anuncio emergente","Un marcador de página",B,"Conceptos de Internet","Las cookies se utilizan para almacenar información sobre la sesión del usuario, sus preferencias, etc., para personalizar la experiencia de navegación.","https://www.aepd.es/es/areas-de-actuacion/internet-y-redes-sociales/guia-sobre-el-uso-de-las-cookies",ofimatica
3390,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, si la celda A1 contiene el texto 'Oposiciones 2025', la fórmula =EXTRAE(A1; 13; 4) devolverá:","2025","Opos","cion","202",A,"Funciones de Excel","La función EXTRAE (MID en inglés) devuelve un número específico de caracteres de una cadena de texto, comenzando en la posición que se especifique. En este caso, empieza en la posición 13 ('2') y extrae 4 caracteres.","https://support.microsoft.com/es-es/office/funci%C3%B3n-extrae-extraeb-d8c8884b-4-4714-a843-9cc282f2a346",ofimatica
3401,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Para seleccionar toda una columna en Excel, ¿dónde se debe hacer clic?","En la primera celda de la columna","En la última celda de la columna","En la letra que encabeza la columna","En el número que encabeza la fila",C,"Uso de Excel","Hacer clic en la cabecera de una columna (A, B, C...) selecciona todas las celdas de esa columna.","https://support.microsoft.com/es-es/office/seleccionar-el-contenido-de-la-celda-en-excel-524f3fb6-a155-4673-81f1-39281c431823",ofimatica
3402,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, la combinación de teclas Ctrl + N se utiliza para:","Crear un nuevo documento","Poner el texto en negrita","Copiar el texto seleccionado","Abrir un documento existente",A,"Atajos de Word","Ctrl + N (Nuevo) es el atajo para crear un documento en blanco. Ctrl + B (Bold) es para negrita.","https://support.microsoft.com/es-es/office/m%C3%A9todos-abreviados-de-teclado-de-microsoft-word-95ef89dd-7142-4b50-afb2-f762f663ceb2",ofimatica
3403,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es un 'hipervínculo'?","Un tipo de fuente","Un texto o imagen que enlaza a otra ubicación","Una fórmula matemática","Un estilo de párrafo",B,"Conceptos de Ofimática","Un hipervínculo o enlace es un elemento que, al hacer clic, lleva al usuario a otra página web, a otro documento o a otra parte del mismo documento.","https://support.microsoft.com/es-es/office/crear-o-modificar-un-hiperv%C3%ADnculo-5d8c0804-f998-4143-86b1-1199735e07bf",ofimatica
3404,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, para sumar las celdas A1 y B1, la fórmula correcta es:","=SUMA(A1,B1)","=A1+B1","=SUMAR(A1+B1)","La A y la B son correctas",D,"Fórmulas de Excel","Se puede sumar celdas tanto con el operador aritmético '+' como con la función SUMA(), separando los argumentos por punto y coma o dos puntos para un rango.","https://support.microsoft.com/es-es/office/funci%C3%B3n-suma-043e1c7d-7726-4e80-8f32-07b23e057f89",ofimatica
3405,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","La memoria RAM de un ordenador es:","Volátil, pierde su contenido al apagar el equipo","No volátil, mantiene los datos sin energía","El disco duro principal","La memoria de solo lectura",A,"Hardware","La memoria RAM (Random Access Memory) es volátil y se utiliza para almacenar temporalmente los datos de los programas en ejecución.","https://www.intel.es/content/www/es/es/tech-tips-and-tricks/computer-ram.html",ofimatica
3406,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, para cambiar la orientación de una sola página a horizontal, se debe insertar:","Un salto de página","Un salto de columna","Un salto de sección","Una tabla",C,"Diseño de Página en Word","Los saltos de sección dividen el documento en partes que pueden tener formatos diferentes, como la orientación de la página, los márgenes o los encabezados.","https://support.microsoft.com/es-es/office/insertar-un-salto-de-secci%C3%B3n-e12e2757-83d5-4c89-a7a5-7331553f1406",ofimatica
3407,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, la función =AHORA() devuelve:","La fecha actual","La hora actual","La fecha y la hora actuales","El día de la semana",C,"Funciones de Excel","La función AHORA() (NOW() en inglés) devuelve la fecha y hora del sistema en el momento en que se calcula la hoja.","https://support.microsoft.com/es-es/office/funci%C3%B3n-ahora-3337fd29-145a-4347-b2e6-20c904de3345",ofimatica
3408,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Un 'firewall' o cortafuegos es un elemento de seguridad que:","Detecta y elimina virus","Controla el tráfico de red, permitiendo o bloqueando conexiones","Encripta los archivos del disco duro","Realiza copias de seguridad",B,"Seguridad Informática","Un firewall actúa como una barrera entre una red privada segura y una red no segura (como Internet), protegiendo contra accesos no autorizados.","https://www.incibe.es/protege-tu-empresa/blog/que-es-un-firewall-y-para-que-sirve",ofimatica
3409,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, para repetir la última acción realizada, se puede pulsar la tecla:","F1","F4","F5","F7",B,"Atajos de Word","La tecla F4 (o Ctrl + Y) repite el último comando o acción. F5 abre 'Ir a' y F7 inicia el revisor ortográfico.","https://support.microsoft.com/es-es/office/m%C3%A9todos-abreviados-de-teclado-de-microsoft-word-95ef89dd-7142-4b50-afb2-f762f663ceb2",ofimatica
3410,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Cuál de los siguientes es un navegador web?","Microsoft Windows","Adobe Acrobat","Google Chrome","Microsoft Office",C,"Software","Un navegador web es una aplicación utilizada para acceder y visualizar sitios web. Google Chrome, Mozilla Firefox y Microsoft Edge son ejemplos.","https://www.google.com/chrome/",ofimatica
3411,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Outlook, para crear una regla que mueva automáticamente los correos de un remitente a una carpeta, se utiliza la opción:","Filtros","Reglas","Carpetas de búsqueda","Archivar",B,"Funcionalidad de Outlook","La herramienta 'Reglas' permite automatizar acciones en los correos entrantes, como moverlos a carpetas específicas, marcarlos como leídos, etc.","https://support.microsoft.com/es-es/office/configurar-reglas-en-outlook-c24f5dea-9465-4df4-ad17-a50704d66c59",ofimatica
3412,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es un 'dominio' en una dirección de internet?","El protocolo (http)","El nombre del servidor (ej. 'google')","La extensión final (ej. '.com', '.es')","La parte que sigue a la '@' en un email o a 'www.' en una web",D,"Conceptos de Internet","El dominio es el nombre único que identifica a un sitio web en Internet, como 'google.com' o 'testestado.es'.","https://www.hostinger.es/tutoriales/que-es-un-dominio",ofimatica
3413,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, la combinación de celdas para crear una única celda más grande se llama:","Agrupar celdas","Unir celdas","Combinar celdas","Fusionar celdas",C,"Formato de Celdas en Excel","La opción 'Combinar y centrar' une varias celdas seleccionadas en una sola.","https://support.microsoft.com/es-es/office/combinar-y-separar-celdas-9归并-and-unmerge-cells-5cbd15d8-9373-4578-9187-8996d4a1d8d3",ofimatica
3414,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, el 'Control de cambios' sirve para:","Guardar versiones del documento","Registrar las modificaciones hechas por un revisor","Corregir la gramática","Cambiar el idioma del texto",B,"Herramientas de Word","El 'Control de cambios' (Track Changes) es una herramienta de colaboración que permite ver y gestionar las ediciones (inserciones, eliminaciones, etc.) realizadas en un documento.","https://support.microsoft.com/es-es/office/control-de-cambios-en-word-197ba630-0f5f-4a8e-9a77-3712475e806a",ofimatica
3415,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es la 'nube' (cloud computing)?","Un tipo de disco duro externo","Una red de servidores remotos en Internet para almacenar y procesar datos","Un sistema operativo","Un software de compresión",B,"Conceptos de Cloud Computing","La 'nube' permite acceder a servicios y datos a través de internet en lugar de tenerlos alojados en el disco duro local del propio ordenador.","https://azure.microsoft.com/es-es/resources/cloud-computing-dictionary/what-is-cloud-computing/",ofimatica
3416,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Para crear un gráfico en Excel, la opción se encuentra principalmente en la pestaña:","Inicio","Fórmulas","Datos","Insertar",D,"Interfaz de Excel","La pestaña 'Insertar' contiene el grupo 'Gráficos', donde se pueden elegir los diferentes tipos de gráficos (barras, circular, líneas, etc.).","https://support.microsoft.com/es-es/office/crear-un-gr%C3%A1fico-de-principio-a-fin-0b9910cb-73b3-42f2-9c97-a5d8a2a70e80",ofimatica
3417,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, la combinación de teclas Ctrl + P se utiliza para:","Pegar","Imprimir","Guardar como PDF","Crear un párrafo nuevo",B,"Atajos de Word","Ctrl + P (Print) abre el cuadro de diálogo de impresión.","https://support.microsoft.com/es-es/office/m%C3%A9todos-abreviados-de-teclado-de-microsoft-word-95ef89dd-7142-4b50-afb2-f762f663ceb2",ofimatica
3418,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","Un 'malware' es:","Un error de hardware","Un software malicioso (virus, troyano, etc.)","Un componente de hardware defectuoso","Un problema de conexión a internet",B,"Seguridad Informática","Malware (del inglés 'malicious software') es un término genérico que engloba todo tipo de software malicioso diseñado para dañar un sistema informático.","https://www.incibe.es/protege-tu-empresa/blog/los-10-tipos-malware-mas-comunes",ofimatica
3419,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, la función =MAX(A1:A10) devuelve:","El valor mínimo del rango","El valor máximo del rango","El promedio del rango","La suma del rango",B,"Funciones de Excel","La función MAX() devuelve el valor numérico más grande de un conjunto de valores.","https://support.microsoft.com/es-es/office/funci%C3%B3n-max-e050274a-3bd1-4a8c-89c0-83f1242df5f8",ofimatica
3420,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Cuál de los siguientes es un periférico de entrada?","Monitor","Impresora","Altavoces","Escáner",D,"Hardware","Un periférico de entrada es un dispositivo que introduce datos en el ordenador. Un escáner digitaliza documentos físicos para convertirlos en archivos.","https://www.profesionalreview.com/2020/04/19/perifericos-de-entrada/",ofimatica
3421,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, para aplicar un formato de dos columnas a una parte del texto, lo más eficiente es:","Usar tabulaciones","Insertar una tabla de dos columnas","Insertar un salto de sección y aplicar el formato de columnas","Crear dos cuadros de texto",C,"Diseño de Página en Word","Los saltos de sección permiten aplicar formatos de página diferentes, como el número de columnas, a distintas partes de un mismo documento.","https://support.microsoft.com/es-es/office/agregar-columnas-a-un-documento-3332e542-ea28-42bd-a318-72230025f8d9",ofimatica
3422,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, ¿qué hace la fórmula =A1*1,21?","Añade un 21% al valor de A1","Resta un 21% al valor de A1","Multiplica el valor de A1 por 1,21","Divide el valor de A1 por 1,21",C,"Fórmulas de Excel","El asterisco (*) es el operador de multiplicación. La fórmula calcula el valor de A1 incrementado en un 21% (cálculo del IVA).","https://support.microsoft.com/es-es/office/operadores-de-c%C3%A1lculo-y-precedencia-en-excel-48be406d-4975-4d31-b2b8-7af9e0e2878a",ofimatica
3423,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","El 'phishing' es una técnica de ciberataque que busca:","Bloquear el acceso a un sistema (ransomware)","Engañar al usuario para que revele información confidencial (contraseñas, datos bancarios)","Instalar un virus que se propaga por la red","Mostrar publicidad no deseada",B,"Seguridad Informática","El phishing utiliza el fraude y el engaño, suplantando la identidad de entidades de confianza (bancos, empresas) para robar información sensible.","https://www.incibe.es/protege-tu-empresa/blog/que-es-el-phishing",ofimatica
3424,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Word, la combinación de teclas Ctrl + C se utiliza para:","Cortar","Copiar","Pegar","Crear",B,"Atajos Universales","Ctrl + C (Copiar) duplica el elemento seleccionado y lo guarda en el portapapeles.","https://support.microsoft.com/es-es/office/m%C3%A9todos-abreviados-de-teclado-de-microsoft-word-95ef89dd-7142-4b50-afb2-f762f663ceb2",ofimatica
3425,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es un 'Sistema Operativo'?","Un programa de ofimática como Word o Excel","El software principal que gestiona el hardware y los recursos de un ordenador","Un dispositivo físico del ordenador","Un antivirus",B,"Conceptos de Software","El Sistema Operativo (Windows, macOS, Linux) es el software fundamental que actúa como intermediario entre el usuario y el hardware.","https://www.microsoft.com/es-es/windows/why-windows",ofimatica
3426,"Examen Ofimática 2023","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, para ordenar una tabla de datos por una columna, se debe ir a la pestaña:","Inicio","Insertar","Fórmulas","Datos",D,"Gestión de Datos en Excel","La pestaña 'Datos' contiene las herramientas para ordenar, filtrar, validar y analizar grandes conjuntos de datos.","https://support.microsoft.com/es-es/office/ordenar-datos-en-un-rango-o-tabla-62d0b95d-2a90-4610-a6ae-2e545c4a4654",ofimatica
3427,"Examen Ofimática 2022","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","El encabezado de un documento de Word es:","El título principal","Un área en el margen superior que se repite en las páginas","La primera línea de texto","Una nota al final de la página",B,"Estructura de Documentos","El encabezado (Header) y el pie de página (Footer) son áreas en los márgenes que se utilizan para información repetitiva como números de página, títulos o fechas.","https://support.microsoft.com/es-es/office/agregar-o-quitar-encabezados-y-pies-de-p%C3%A1gina-b87ee35a-2603-4914-9311-50d674b3b3a3",ofimatica
3428,"Examen Ofimática 2021","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","¿Qué es una URL?","Un lenguaje de programación","La dirección única de un recurso en Internet (una página web, una imagen, etc.)","Un tipo de virus informático","Un protocolo de red",B,"Conceptos de Internet","URL son las siglas de 'Uniform Resource Locator' (Localizador Uniforme de Recursos) y es la dirección que se escribe en el navegador para acceder a un recurso.","https://developer.mozilla.org/es/docs/Learn/Common_questions/Web_mechanics/What_is_a_URL",ofimatica
3429,"Examen Ofimática 2019","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","En Excel, la función =HOY() devuelve:","La fecha y hora actuales","Solo la fecha actual","Solo la hora actual","El número del día actual",B,"Funciones de Excel","La función HOY() (TODAY() en inglés) devuelve el número de serie de la fecha actual, sin la hora.","https://support.microsoft.com/es-es/office/funci%C3%B3n-hoy-5e58d05c-550c-48ad-b138-f8e727ba6d6a",ofimatica
3430,"Examen Ofimática 2018","Auxiliar Administrativo del Estado (C2)","Bloque II - Actividad Administrativa y Ofimática","La 'Papelera de reciclaje' de Windows sirve para:","Limpiar archivos basura del sistema","Almacenar temporalmente los archivos eliminados","Comprimir archivos grandes","Proteger contra virus",B,"Uso de Windows","La Papelera de reciclaje actúa como una salvaguarda, permitiendo restaurar archivos y carpetas que han sido eliminados por error antes de su borrado definitivo.","https://support.microsoft.com/es-es/windows/buscar-y-administrar-la-papelera-de-reciclaje-3b5c3729-0e00-43a0-972a-6a2c07a3c8e4",ofimatica
